manufacturer,diameter,impulseClass,my_Isp,total_impulse
Loki Research,76.0,M,205.274008070268,6303.0
Animal Motor Works,75.0,M,178.8046966436365,5920.0
Animal Motor Works,75.0,M,227.52084706384343,6100.0
AeroTech,98.0,M,186.79798136975322,10480.0
AeroTech,98.0,M,175.04720843568788,9218.0
Animal Motor Works,98.0,N,203.04404100304546,10280.0
Animal Motor Works,75.0,M,171.8796268777511,6350.0
AeroTech,98.0,M,213.01009458619816,7717.0
Animal Motor Works,75.0,M,186.78814615164583,7784.0
AeroTech,98.0,M,209.2614699455219,9671.0
Cesaroni Technology,98.0,M,227.44209461652196,7450.0
Animal Motor Works,98.0,N,193.4447217577543,10610.0
Animal Motor Works,98.0,N,226.76828262339015,11450.0
Contrail Rockets,98.0,M,279.5190059086443,6060.0
Animal Motor Works,75.0,M,196.6400627369083,7367.0
AeroTech,98.0,N,175.5264115972075,13350.0
Cesaroni Technology,98.0,N,207.09202194904722,13770.0
Animal Motor Works,98.0,N,221.7657566186839,16460.0
AeroTech,98.0,N,206.1954270412735,19360.0
Cesaroni Technology,161.0,O,230.72336660704323,29990.0
AeroTech,38.0,I,224.5264186204553,422.9
AeroTech,75.0,K,223.11332536741125,1322.0
AeroTech,38.0,I,146.7529525633501,570.1
AeroTech,38.0,I,142.0551076514379,367.9
AeroTech,38.0,I,139.65341488277267,452.1
AeroTech,98.0,K,211.3628325948116,2540.0
AeroTech,38.0,G,226.54933533046244,108.9
AeroTech,38.0,J,141.2426378978367,798.1
AeroTech,75.0,M,189.4065853843106,7659.0
AeroTech,54.0,J,231.36032409099033,843.4
AeroTech,54.0,J,209.56550086154704,1215.0
AeroTech,29.0,G,170.42558613659529,107.0
Animal Motor Works,38.0,I,189.87187361109787,358.0
Animal Motor Works,38.0,I,180.74974793488363,358.0
Animal Motor Works,38.0,I,191.131498470948,594.0
AeroTech,29.0,F,178.03046618139007,49.6
AeroTech,38.0,G,224.03151846498253,136.7
AeroTech,38.0,J,198.75637104994902,974.9
AeroTech,75.0,M,181.4237750929249,5964.0
AeroTech,98.0,M,171.58134519774634,9325.0
Animal Motor Works,75.0,L,170.93961658935828,4744.0
Animal Motor Works,98.0,N,196.05778140749612,14800.0
Kosdon by AeroTech,38.0,I,182.1709249942455,554.0
Kosdon by AeroTech,38.0,I,198.69037129183297,575.0
Kosdon by AeroTech,54.0,K,167.83190152592383,2468.0
Kosdon by AeroTech,54.0,K,171.4037921055219,2423.0
Kosdon by AeroTech,75.0,M,191.91137639241978,7813.0
Kosdon by AeroTech,75.0,M,126.43509207175491,5290.0
Roadrunner Rocketry,29.0,F,207.2714916751614,61.0
